id;name;code;user_type_id/id;chart_template_id/id;reconcile
l10n_dz.pcg_6053;Achats d’immobilisations de faible valeur : Matériel informatique;6053;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6054;Achats d’immobilisations de faible valeur : Matériel de communicat;6054;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6058;Autres achats de matériels, d'équipements et de travaux;6058;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6071;Achat non stocké de carburant;6071;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6072;Achat non stocké d'énergie et de force motrice (ateliers);6072;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6073;Fournitures non stockées : Eau, Gaz et Electricité (bureaux);6073;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6074;Fournitures administratives et de bureautique non stockées;6074;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6075;Achats non stockés de fournitures d'atelier et de magasin;6075;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6076;Achat non stocké de Tenues de travail et de sécurité;6076;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6078;Achat : Autres fournitures consommables non stockées;6078;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6090;R.R.R Obtenus sur achats de marchandises;6090;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6091;R.R.R Obtenus sur achats de matières premières;6091;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
l10n_dz.pcg_6092;R.R.R Obtenus sur achats d’autres approvisionnements;6092;account.data_account_type_expenses;l10n_dz.l10n_dz_pcg_chart_template;False
